base_features,log_lasso,0.8651651256055162,0.7698378533505524
base_features,randomForest,0.9009186753266244,0.7679724494188549
base_features,xgboost,0.9102576726502638,0.7752905725355144
filter_and_pca_high-pass,log_lasso,0.8292721299994164,0.7684029272492466
filter_and_pca_high-pass,neuralNet,0.8654419329825994,0.7734251686038169
filter_and_pca_high-pass,randomForest,0.7756323631179183,0.7638111637250682
filter_and_pca_high-pass,xgboost,0.6872602322847446,0.7474530061701823
filter_and_pca_low-pass,log_lasso,0.8459896280609309,0.7632371932845459
filter_and_pca_low-pass,neuralNet,0.8086893754325116,0.763524178504807
filter_and_pca_low-pass,randomForest,0.7842406973544884,0.7623762376237624
filter_and_pca_low-pass,xgboost,0.8262560551613738,0.7678289568087243
filter_highpass,log_lasso,0.8048202002684697,0.7673984789783326
filter_highpass,randomForest,0.8757758110372774,0.7504663509829244
filter_highpass,xgboost,0.9513812437989311,0.7771559764672119
filter_lowpass,log_lasso,0.8357818557766864,0.7606543263021954
filter_lowpass,randomForest,0.8705381902467088,0.7731381833835558
filter_lowpass,xgboost,0.8353485938685498,0.7696943607404219
gbf_highpass,log_lasso,0.7382277657809385,0.7141627206198881
gbf_highpass,neuralNet,0.7923965932682446,0.7569235184388003
gbf_highpass,randomForest,0.8352021861112732,0.763524178504807
gbf_highpass,xgboost,0.8208447627544002,0.7643851341655905
gbf_lowpass,log_lasso,0.6345221320838093,0.5764098148945329
gbf_lowpass,neuralNet,0.49974153528043425,0.5551729085952073
gbf_lowpass,randomForest,0.8561152752649264,0.7554885923374947
gbf_lowpass,xgboost,0.7676329634230734,0.6889080212369063
gs-ref_highpass,log_lasso,0.8038795554406825,0.7308078633950351
gs-ref_highpass,neuralNet,0.5,0.5551729085952073
gs-ref_highpass,randomForest,0.8731680270804326,0.7708423016214665
gs-ref_highpass,xgboost,0.7743290339255788,0.7415698091548285
gs-ref_lowpass,log_lasso,0.8054717814889237,0.7244941885492897
gs-ref_lowpass,neuralNet,0.8524434921084885,0.7750035873152533
gs-ref_lowpass,randomForest,0.9628509492325265,0.8114507102884202
gs-ref_lowpass,xgboost,0.9288346993054801,0.7933706414119673
nested,log_lasso,1.0,1.0
nested,neuralNet,0.999281217952459,0.9964126847467355
nested,randomForest,1.0,1.0
nested,xgboost,1.0,1.0
pca,log_lasso,0.8371041946322713,0.7721337351126417
pca,neuralNet,0.9114365635864897,0.7774429616874731
pca,randomForest,0.6795384320362852,0.767254986368202
pca,xgboost,0.7823832948415445,0.7691203902998995
